"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1TXKN0168","FAIR OAKS RANCH 2.3 NNW, TX US","29.7664203","-98.6506728","409.7","2025-04-29",,,,
"US1TXCLL033","RICHARDSON 2.2 NW, TX US","32.992101","-96.739666","203.3","2025-04-29",,,,
"US1TXKN0169","BOERNE 3.6 SE, TX US","29.756","-98.6918","427.3","2025-04-29",,,,
"US1TXKN0163","BOERNE 4.2 NNW, TX US","29.853797","-98.74572","477.9","2025-04-29",,,,
"USC00419191","TURKEY, TX US","34.39604","-100.89661","716.9","2025-04-29",,"29.4","13.3","16.1"
"US1TXCLL030","ANNA 3.7 SSW, TX US","33.312697","-96.582716","176.8","2025-04-29",,,,
"US1TXKN0166","BOERNE 11.2 N, TX US","29.954335","-98.7019","407.2","2025-04-29",,,,
"US1TXKN0161","BOERNE 5.6 NNW, TX US","29.8719","-98.7594","522.7","2025-04-29",,,,
"US1TXKN0162","SISTERDALE 8.9 SSE, TX US","30.090201","-98.779443","552.6","2025-04-29",,,,
"US1TXBXR573","SAN ANTONIO 7.2 NE, TX US","29.53927","-98.432003","222.8","2025-04-29",,,,
"US1TXEC0002","ODESSA 8.3 WSW, TX US","31.8448996","-102.4858042","901.3","2025-04-29",,,,
"US1TXKF0017","KAUFMAN 2.4 ESE, TX US","32.565858","-96.271818","128.6","2025-04-29",,,,
"US1TXER0011","STEPHENVILLE 5.4 NE, TX US","32.273769","-98.150492","390.1","2025-04-29",,,,
"US1TXBXR570","LEON VALLEY 3.6 N, TX US","29.54727","-98.603632","288.0","2025-04-29",,,,
"US1TXBXR572","SAN ANTONIO 6.0 ENE, TX US","29.487933","-98.412637","211.8","2025-04-29",,,,
"US1TXEC0007","GARDENDALE 1.1 NE, TX US","32.032929","-102.348462","901.9","2025-04-29",,,,
"US1TXEC0009","ODESSA 1.9 E, TX US","31.87585","-102.31617","878.7","2025-04-29",,,,
"US1TXKF0010","TERRELL 8.2 SSW, TX US","32.627806","-96.35887","130.8","2025-04-29",,,,
"US1TXBST019","BASTROP 7.2 N, TX US","30.215411","-97.328436","128.0","2025-04-29",,,,
"US1TXBST017","WYLDWOOD 8.3 SSW, TX US","30.02874","-97.54961","178.9","2025-04-29",,,,
"US1TXEC0004","ODESSA 4.2 N, TX US","31.9355","-102.3468","920.5","2025-04-29",,,,
"US1TXCLL045","MCKINNEY 7.3 NE, TX US","33.243423","-96.525862","201.5","2025-04-29",,,,
"US1TXBXR567","WINDCREST 2.9 NNW, TX US","29.557436","-98.391935","256.0","2025-04-29",,,,
